ticker,note_found,has_debt_instruments_concept,has_maturities_concept,filing_date,error,sector,market_cap,decile
RHLD,True,True,True,2026-03-12,,INDUSTRIALS,1059946000.0,2
PFBC,False,False,False,,no 10-K on file,FINANCIAL SERVICES,1227153000.0,2
FUBO,False,False,False,2025-03-03,,COMMUNICATION SERVICES,311104000.0,0
MCRI,False,False,False,2026-02-24,,CONSUMER CYCLICAL,2196763000.0,4
IOSP,False,False,False,2026-02-18,,BASIC MATERIALS,2311870000.0,4
KNX,True,True,False,2026-02-19,,INDUSTRIALS,10943713000.0,7
ALGM,True,True,False,2026-05-21,,TECHNOLOGY,6667601000.0,6
HRL,True,True,False,2025-12-05,,CONSUMER DEFENSIVE,11871066000.0,7
TOI,True,True,True,2026-03-12,,HEALTHCARE,506914000.0,1
PWR,True,True,True,2026-02-19,,INDUSTRIALS,90611966000.0,9
TPB,True,True,False,2026-03-02,,CONSUMER DEFENSIVE,1682706000.0,3
BHVN,False,False,False,2026-03-02,,HEALTHCARE,2327585000.0,4
TWI,True,True,True,2026-02-26,,INDUSTRIALS,453087000.0,1
PEGA,False,False,False,2026-02-10,The read operation timed out,TECHNOLOGY,5946527000.0,6
VELO,True,True,True,2026-03-31,,TECHNOLOGY,381610000.0,0
KOS,True,True,True,2026-03-02,,ENERGY,1643546000.0,3
SO,True,True,True,2026-02-19,,UTILITIES,101231944000.0,9
TGTX,False,False,False,2026-02-27,,HEALTHCARE,8255014000.0,6
EQBK,True,False,True,2026-03-06,,FINANCIAL SERVICES,1021799000.0,2
BRUN,False,False,False,,no 10-K on file,TECHNOLOGY,1355261000.0,3
APLE,True,True,True,2026-02-23,,REAL ESTATE,3907169000.0,5
EXE,True,True,True,2026-02-18,,ENERGY,22724413000.0,8
PTC,False,False,False,2025-11-21,,TECHNOLOGY,17051759000.0,7
ESTA,True,True,False,2026-02-27,,HEALTHCARE,2105206000.0,3
SFL,False,False,False,,no 10-K on file,INDUSTRIALS,1715351000.0,3
CMCO,True,False,True,2026-06-08,,INDUSTRIALS,519556000.0,1
