#SYMBOL,MAIN_EXCHANGE,DESCRIPTION,IB_CONTRACT_ID,SCHEDULED_INELIGIBILTY_DATE
AAP,NYSE,ADVANCE AUTO PARTS INC,4027,
ABM,NYSE,ABM INDUSTRIES INC,4050,
ABT,NYSE,ABBOTT LABORATORIES .,4065,
ADC,NYSE,AGREE REALTY CORP,4151,
ADI,NASDAQ,ANALOG DEVICES INC,4157,
ADM,NYSE,ARCHER-DANIELS-MIDLAND CO,4165,
ADX,NYSE,ADAMS DIVERSIFIED EQUITY,4187,
AEM,NYSE,AGNICO EAGLE MINES LTD,4205,
AEP,NASDAQ,AMERICAN ELECTRIC POWER,4211,
AFL,NYSE,AFLAC INC,4227,
AGCO,NYSE,AGCO CORP,4230,
AIN,NYSE,ALBANY INTL CORP-CL A,4307,
AIR,NYSE,AAR CORP,4310,
AIT,NYSE,APPLIED INDUSTRIAL TECH INC,4313,
AJG,NYSE,ARTHUR J GALLAGHER & CO,4325,
ALB,NYSE,ALBEMARLE CORP,4347,
HON,NASDAQ,HONEYWELL INTERNATIONAL INC,4350,
ALK,NYSE,ALASKA AIR GROUP INC,4352,
ALL,NYSE,ALLSTATE CORP,4357,
ALX,NYSE,ALEXANDER'S INC,4382,
AMD,NASDAQ,ADVANCED MICRO DEVICES,4391,
AME,NYSE,AMETEK INC,4392,
AP,NYSE,AMPCO-PITTSBURGH CORP,4471,
APD,NYSE,AIR PRODUCTS & CHEMICALS INC,4487,
APH,NYSE,AMPHENOL CORP-CL A,4493,
ARW,NYSE,ARROW ELECTRONICS INC,4568,
ASA,NYSE,ASA GOLD AND PRECIOUS METALS,4580,
ATO,NYSE,ATMOS ENERGY CORP,4644,
ATR,NYSE,APTARGROUP INC,4651,
ADP,NASDAQ,AUTOMATIC DATA PROCESSING,4661,
AVT,NASDAQ,AVNET INC,4691,
AVY,NYSE,AVERY DENNISON CORP,4694,
AWF,NYSE,ALLIANCEBERNSTEIN GL HI INC,4704,
AXP,NYSE,AMERICAN EXPRESS CO,4721,
AXR,NYSE,AMREP CORP,4724,
AZO,NYSE,AUTOZONE INC,4750,
BA,NYSE,BOEING CO/THE,4762,
BBVA,NYSE,BANCO BILBAO VIZCAYA-SP ADR,4815,
BBY,NYSE,BEST BUY CO INC,4817,
BC,NYSE,BRUNSWICK CORP,4820,
BCH,NYSE,BANCO DE CHILE-ADR,4839,
BCS,NYSE,BARCLAYS PLC-SPONS ADR,4854,
BDX,NYSE,BECTON DICKINSON AND CO,4886,
VZ,NYSE,VERIZON COMMUNICATIONS INC,4901,
BEN,NYSE,FRANKLIN RESOURCES INC,4906,
BF A,NYSE,BROWN-FORMAN CORP-CLASS A,4926,
BF B,NYSE,BROWN-FORMAN CORP-CLASS B,4931,
BFS,NYSE,SAUL CENTERS INC,4946,
BHP,NYSE,BHP GROUP LTD-SPON ADR,4986,
BKH,NYSE,BLACK HILLS CORP,5022,
BALL,NYSE,BALL CORP,5052,
BLX,NYSE,BANCO LATINOAMERICANO COME-E,5072,
BMO,NYSE,BANK OF MONTREAL,5094,
BMY,NYSE,BRISTOL-MYERS SQUIBB CO,5111,
BOH,NYSE,BANK OF HAWAII CORP,5147,
BP,NYSE,BP PLC-SPONS ADR,5171,
BRT,NYSE,BRT APARTMENTS CORP,5234,
BSX,NYSE,BOSTON SCIENTIFIC CORP,5270,
BWA,NYSE,BORGWARNER INC,5336,
BYD,NYSE,BOYD GAMING CORP,5365,
CAG,NYSE,CONAGRA BRANDS INC,5402,
CAH,NYSE,CARDINAL HEALTH INC,5407,
CAT,NYSE,CATERPILLAR INC,5437,
CBT,NYSE,CABOT CORP,5480,
CCK,NYSE,CROWN HOLDINGS INC,5513,
CCL.OLD,NYSE,CARNIVAL CORP,5516,
CDNS,NASDAQ,CADENCE DESIGN SYS INC,5552,
CFR,NYSE,CULLEN/FROST BANKERS INC,5610,
CHD,NYSE,CHURCH & DWIGHT CO INC,5651,
CHE,NYSE,CHEMED CORP,5654,
CVX,NYSE,CHEVRON CORP,5684,
CL,NYSE,COLGATE-PALMOLIVE CO,5749,
VRE,NYSE,VERIS RESIDENTIAL INC,5775,
CLX,NYSE,CLOROX COMPANY,5794,
CMC,NYSE,COMMERCIAL METALS CO,5811,
CMS,NYSE,CMS ENERGY CORP,5840,
CNA,NYSE,CNA FINANCIAL CORP,5862,
COF,NYSE,CAPITAL ONE FINANCIAL CORP,5941,
CPB,NASDAQ,THE CAMPBELL'S COMPANY,5980,
CPK,NYSE,CHESAPEAKE UTILITIES CORP,5994,
CPT,NYSE,CAMDEN PROPERTY TRUST,6004,
CRD A,NYSE,CRAWFORD & COMPANY -CL A,6032,
CRD B,NYSE,CRAWFORD & CO -CL B,6037,
CRS,NYSE,CARPENTER TECHNOLOGY,6077,
CRT,NYSE,CROSS TIMBERS ROYALTY TRUST,6080,
CSL,NYSE,CARLISLE COS INC,6120,
CSX,NASDAQ,CSX CORP,6150,
CTS,NYSE,CTS CORP,6190,
CMI,NYSE,CUMMINS INC,6207,
TSI,NYSE,TCW STRATEGIC INCOME FUND,6233,
CW,NYSE,CURTISS-WRIGHT CORP,6236,
CWT,NYSE,CALIFORNIA WATER SERVICE GRP,6255,
CX,NYSE,CEMEX SAB-SPONS ADR PART CER,6257,
CYD,NYSE,CHINA YUCHAI INTL LTD,6283,
D,NYSE,DOMINION ENERGY INC,6327,
DCI,NYSE,DONALDSON CO INC,6353,
DDS,NYSE,DILLARDS INC-CL A,6390,
DE,NYSE,DEERE & CO,6393,
TGT,NYSE,TARGET CORP,6437,
DHR,NYSE,DANAHER CORP,6442,
DIS,NYSE,WALT DISNEY CO/THE,6459,
DLX,NYSE,DELUXE CORP,6482,
MCO,NYSE,MOODY'S CORP,6497,
DNP,NYSE,DNP SELECT INCOME FUND INC,6500,
DOV,NYSE,DOVER CORP,6517,
DTE,NYSE,DTE ENERGY COMPANY,6585,
DTF,NYSE,DTF TAX-FREE INCOME 2028 TER,6588,
DY,NYSE,DYCOM INDUSTRIES INC,6630,
EAT,NYSE,BRINKER INTL INC,6647,
EBF,NYSE,ENNIS INC,6648,
ECL,NYSE,ECOLAB INC,6682,
ED,NYSE,CONSOLIDATED EDISON INC,6691,
EFX,NYSE,EQUIFAX INC,6735,
RVTY,NYSE,REVVITY INC,6737,
EGP,NYSE,EASTGROUP PROPERTIES INC,6747,
CALY,NYSE,CALLAWAY GOLF COMPANY,6808,
EME,NYSE,EMCOR GROUP INC,6820,
EMF,NYSE,TEMPLETON EMERGING MARKETS,6827,
