rank,percentile,ticker,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date
1,100.0%,TGTX,4.4,HEALTHCARE,5B,33.8,91M,12.1,-0.5%,8.3%,83.6%,20.0%,0.0,42.1%,low_ps,False,1,partial,2026-03-31
2,99.9%,WINA,3.8,CONSUMER CYCLICAL,1B,380.5,22M,33.9,3.2%,3.0%,96.4%,63.4%,0.0,167.4%,low_ps,False,0,good,2026-03-31
3,99.8%,LVS,2.8,CONSUMER CYCLICAL,36B,54.3,287M,22.4,5.1%,4.5%,28.2%,23.7%,0.5,7.4%,low_ps,False,0,good,2026-03-31
4,99.8%,LOW,2.4,CONSUMER CYCLICAL,128B,229.2,615M,19.3,6.0%,5.2%,33.5%,11.8%,0.5,12.3%,low_ps,False,0,good,2026-05-01
5,99.7%,PFBC,2.1,FINANCIAL SERVICES,1B,94.7,10M,8.8,14.1%,11.3%,55.3%,37.7%,0.0,1.8%,high_fcf_yield,False,0,good,2026-03-31
6,99.6%,FTNT,1.9,TECHNOLOGY,63B,84.3,557M,33.8,3.6%,3.0%,80.8%,30.6%,0.4,17.8%,low_ps,False,1,partial,2026-03-31
7,99.5%,CCL,1.6,CONSUMER CYCLICAL,37B,26.4,784M,11.9,8.1%,8.4%,37.5%,16.9%,0.4,6.0%,high_earnings_yield,False,0,good,2026-04-29
8,99.5%,DXC,1.5,TECHNOLOGY,2B,9.4,50M,3.8,64.3%,26.6%,19.7%,5.4%,0.6,3.2%,high_fcf_yield,False,0,good,2026-03-01
9,99.4%,STOK,1.5,HEALTHCARE,2B,32.9,17M,52.4,2.2%,-0.3%,98.9%,-11.2%,0.1,-1.6%,low_ps,True,1,partial,2026-03-31
10,99.3%,KSS,1.2,CONSUMER CYCLICAL,2B,14.5,63M,6.2,56.5%,16.3%,40.6%,3.3%,0.1,2.0%,high_fcf_yield,False,0,good,2026-05-01
11,99.2%,MAR,1.1,CONSUMER CYCLICAL,97B,361.7,514M,37.5,2.7%,2.7%,21.3%,15.8%,0.5,9.4%,high_fcf_yield,False,0,good,2026-03-31
12,99.2%,COKE,1.1,CONSUMER DEFENSIVE,2B,205.1,102M,3.5,31.1%,28.6%,39.4%,13.2%,0.2,12.3%,high_earnings_yield,False,0,good,2026-03-31
13,99.1%,MTD,1.1,HEALTHCARE,23B,1124.5,193M,26.2,3.7%,3.8%,57.5%,27.8%,0.1,23.4%,low_ps,False,1,partial,2026-03-31
14,99.0%,BFH,1.0,FINANCIAL SERVICES,4B,84.8,60M,7.1,56.2%,14.1%,63.3%,13.1%,20.1,2.3%,high_fcf_yield,True,0,good,2026-03-31
15,98.9%,BBWI,1.0,CONSUMER CYCLICAL,4B,19.7,112M,6.7,20.0%,15.0%,43.7%,15.4%,0.5,12.8%,high_fcf_yield,False,0,good,2026-05-01
16,98.9%,IT,0.9,TECHNOLOGY,10B,148.5,231M,14.2,11.3%,7.0%,67.7%,15.8%,0.1,9.0%,high_fcf_yield,False,1,partial,2026-03-31
17,98.8%,HALO,0.9,HEALTHCARE,8B,64.1,90M,23.8,8.5%,4.2%,81.9%,58.4%,1.6,12.5%,high_fcf_yield,False,1,partial,2026-03-31
18,98.7%,CALM,0.9,CONSUMER DEFENSIVE,4B,76.1,49M,5.2,20.0%,19.3%,33.8%,25.1%,0.0,22.1%,high_earnings_yield,False,0,good,2026-04-29
19,98.6%,HCI,0.8,FINANCIAL SERVICES,2B,153.6,32M,6.6,22.3%,15.1%,63.3%,47.6%,0.1,11.8%,high_fcf_yield,False,0,good,2026-03-31
20,98.6%,HG,0.8,FINANCIAL SERVICES,3B,32.8,15M,5.8,25.3%,17.3%,43.1%,28.2%,0.0,6.0%,high_fcf_yield,False,0,good,2026-03-31
21,98.5%,RNR,0.8,FINANCIAL SERVICES,13B,307.0,103M,4.9,28.2%,20.5%,40.7%,31.5%,0.0,5.0%,high_fcf_yield,False,0,good,2026-03-31
