rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date
1,100.0%,NVRI,Enviri Corporation,2.9,INDUSTRIALS,2B,19.3,16M,64.5,-2.6%,-10.9%,19.2%,1.0%,0.6,-6.3%,high_earnings_yield,True,0,good,2026-03-31
2,99.9%,GEV,GE Vernova LLC,2.6,INDUSTRIALS,295B,1083.5,3B,60.3,1.3%,1.7%,19.9%,3.7%,0.0,7.8%,low_ps,False,0,good,2026-03-31
3,99.8%,CAR,Avis Budget Group Inc,2.4,INDUSTRIALS,6B,180.7,2B,7.1,-71.7%,-13.9%,25.2%,10.9%,0.1,-2.8%,high_fcf_yield,False,0,good,2026-03-31
4,99.8%,BWXT,BWX Technologies Inc,2.2,INDUSTRIALS,20B,216.4,232M,60.4,1.5%,1.7%,22.9%,11.3%,0.0,7.7%,low_ps,False,0,good,2026-03-31
5,99.7%,ALAB,"Astera Labs, Inc.",2.2,TECHNOLOGY,35B,194.7,1B,161.0,0.8%,0.6%,75.7%,20.3%,0.0,14.3%,low_ps,False,1,partial,2026-03-31
6,99.6%,MASI,Masimo Corporation,2.0,HEALTHCARE,9B,178.4,136M,120.8,2.1%,-1.6%,61.9%,20.3%,0.1,-8.9%,high_earnings_yield,True,0,good,2026-03-31
7,99.5%,KTOS,Kratos Defense & Security Solutions,1.8,INDUSTRIALS,11B,63.0,256M,514.1,-1.2%,0.2%,22.1%,2.1%,0.2,0.9%,low_pe,False,1,partial,2026-03-31
8,99.5%,PMT,PennyMac Mortgage Investment Trust,1.6,REAL ESTATE,1B,12.2,13M,8.3,-53.4%,12.1%,56.2%,43.4%,11.9,0.6%,high_fcf_yield,True,0,good,2026-03-31
9,99.4%,AMTM,Amentum Holdings Inc.,1.5,INDUSTRIALS,6B,24.5,44M,61.1,4.5%,1.6%,10.4%,3.4%,0.1,0.9%,low_ps,False,1,partial,2026-03-31
10,99.3%,CSGP,CoStar Group Inc,1.5,REAL ESTATE,14B,34.6,232M,1910.5,-3.2%,0.1%,77.6%,-2.2%,0.1,0.1%,low_pe,True,1,partial,2026-03-31
11,99.2%,WKC,World Kinect Corporation,1.4,ENERGY,1B,27.0,25M,79.6,16.2%,-43.8%,1.4%,0.7%,0.6,-10.5%,high_earnings_yield,True,0,good,2026-03-31
12,99.2%,TAP,Molson Coors Brewing Co Class B,1.4,CONSUMER DEFENSIVE,8B,42.7,149M,8.2,13.2%,-26.4%,37.6%,-21.0%,0.1,-9.4%,high_earnings_yield,True,0,good,2026-03-31
13,99.1%,PTEN,Patterson-UTI Energy Inc,1.4,ENERGY,5B,12.2,108M,22.5,8.0%,-2.0%,4.8%,-0.9%,0.0,-1.7%,high_earnings_yield,True,0,good,2026-03-31
14,99.0%,ANAB,AnaptysBio Inc,1.4,HEALTHCARE,2B,69.3,45M,66.9,0.9%,-0.6%,99.0%,20.4%,0.0,-3.6%,low_ps,False,1,partial,2026-03-31
