rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
1,99.9%,ZTO,ZTO Express (Cayman) Inc,1.7,INDUSTRIALS,17B,22.6,32M,2.0,79.3%,50.8%,24.9%,20.1%,1.9,9.4%,high_fcf_yield,False,0,good,2026-05-30,6.1%,6.1%
2,99.7%,CALM,Cal-Maine Foods Inc,1.2,CONSUMER DEFENSIVE,4B,74.5,62M,5.1,20.5%,19.7%,33.8%,25.1%,0.0,22.1%,high_earnings_yield,False,0,good,2026-04-29,5.6%,5.6%
3,99.5%,KSS,Kohl's Corporation,1.0,CONSUMER CYCLICAL,1B,15.9,96M,6.7,51.7%,14.9%,40.6%,3.3%,0.1,2.0%,high_fcf_yield,False,0,good,2026-05-01,2.1%,2.1%
4,99.4%,HLF,Herbalife Nutrition Ltd,1.0,CONSUMER DEFENSIVE,1B,12.0,22M,5.4,28.8%,18.5%,75.9%,9.1%,0.0,8.3%,high_fcf_yield,False,0,good,2026-05-30,2.0%,2.0%
5,99.3%,ENR,Energizer Holdings Inc,0.8,INDUSTRIALS,1B,18.3,22M,6.5,12.6%,15.4%,40.9%,14.7%,0.1,4.4%,high_earnings_yield,False,0,good,2026-05-30,3.0%,3.0%
6,98.8%,EIX,Edison International,0.7,UTILITIES,28B,70.9,176M,7.4,-2.3%,13.5%,37.7%,21.3%,1.2,3.9%,high_earnings_yield,False,0,good,2026-05-30,7.4%,7.4%
7,98.4%,GFI,Gold Fields Ltd ADR,0.6,BASIC MATERIALS,35B,38.6,149M,7.2,11.2%,14.0%,52.5%,48.3%,0.1,31.7%,high_earnings_yield,False,0,good,2026-03-31,2.7%,2.7%
8,98.3%,IAG,IAMGold Corporation,0.6,BASIC MATERIALS,10B,17.5,98M,10.3,12.3%,9.7%,47.9%,44.8%,0.0,16.9%,high_fcf_yield,False,0,good,2026-05-30,2.1%,2.1%
9,98.2%,AU,AngloGold Ashanti plc,0.6,BASIC MATERIALS,48B,91.8,355M,13.3,8.6%,7.5%,52.2%,48.1%,0.0,22.1%,high_earnings_yield,False,0,good,2026-05-30,2.6%,2.6%
10,98.0%,BBWI,Bath & Body Works Inc.,0.6,CONSUMER CYCLICAL,4B,18.7,113M,5.2,24.0%,19.2%,43.2%,15.8%,0.1,14.6%,high_fcf_yield,False,0,good,2026-06-29,3.6%,3.6%
11,97.9%,GTX,Garrett Motion Inc,0.6,CONSUMER CYCLICAL,6B,31.6,104M,17.8,6.2%,5.6%,24.2%,14.2%,0.0,14.5%,high_earnings_yield,False,0,good,2026-05-30,3.2%,3.2%
12,97.8%,BHP,BHP Group Limited,0.6,BASIC MATERIALS,223B,93.2,269M,11.0,8.8%,9.1%,82.7%,41.0%,0.1,18.7%,high_earnings_yield,False,0,good,2026-03-01,5.4%,5.4%
13,97.7%,CARG,CarGurus,0.6,CONSUMER CYCLICAL,3B,28.6,43M,18.3,10.3%,5.5%,89.9%,21.7%,0.0,28.7%,high_fcf_yield,False,1,partial,2026-05-30,4.6%,4.6%
14,97.5%,GDDY,Godaddy Inc,0.5,TECHNOLOGY,12B,88.6,233M,13.7,13.8%,7.3%,59.8%,23.9%,0.0,10.7%,high_fcf_yield,False,1,partial,2026-05-30,7.4%,7.4%
15,97.4%,KGC,Kinross Gold Corporation,0.5,BASIC MATERIALS,34B,29.0,249M,12.2,8.6%,8.2%,52.8%,48.2%,0.0,22.1%,high_earnings_yield,False,0,good,2026-05-30,3.0%,3.0%
16,97.3%,COLL,Collegium Pharmaceutical Inc,0.5,HEALTHCARE,1B,30.5,16M,16.3,27.0%,6.1%,60.7%,23.8%,0.1,4.5%,high_fcf_yield,False,1,partial,2026-05-30,3.2%,3.2%
17,97.2%,BLKB,Blackbaud Inc,0.5,TECHNOLOGY,1B,30.4,30M,10.0,20.7%,10.0%,59.2%,19.5%,0.1,6.7%,high_fcf_yield,False,0,good,2026-05-30,4.9%,4.9%
18,96.9%,SBH,Sally Beauty Holdings Inc,0.5,CONSUMER CYCLICAL,1B,12.5,21M,6.8,21.1%,14.7%,51.9%,8.2%,0.4,6.4%,high_fcf_yield,False,1,partial,2026-05-30,3.2%,3.2%
19,96.7%,THC,Tenet Healthcare Corporation,0.5,HEALTHCARE,15B,163.6,246M,8.4,23.4%,11.9%,42.8%,16.1%,0.0,5.5%,high_fcf_yield,False,0,good,2026-05-30,3.8%,3.8%
20,96.6%,TDC,Teradata Corp,0.5,TECHNOLOGY,3B,36.5,111M,8.4,19.0%,11.9%,60.2%,6.2%,0.6,19.7%,high_fcf_yield,False,0,good,2026-05-30,3.1%,3.1%
21,96.5%,M,Macy’s Inc,0.5,CONSUMER CYCLICAL,6B,21.7,186M,9.3,17.6%,10.7%,36.5%,4.6%,0.0,4.0%,high_fcf_yield,False,0,good,2026-05-01,3.9%,3.9%
