Ticker,Fiscal_Year,Period_End_Date,Filing_Date,Filing_Type,Period_Type,Quarter,Status,Field,Value,Concept
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,revenue,85530000000.0,Revenues
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,cost_of_revenue,79752000000.0,CostOfRevenue
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,gross_profit,5778000000.0,GrossProfit
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,research_development,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,selling_general_admin,3706000000.0,SellingGeneralAndAdministrativeExpense
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,depreciation_amortization,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,restructuring_charges,545000000.0,RestructuringSettlementAndImpairmentProvisions
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,other_operating_expenses,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,total_operating_expenses,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,operating_income,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,interest_income,562000000.0,adm_InterestAndInvestmentIncome
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,interest_expense,706000000.0,InterestExpense
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,equity_method_investments,621000000.0,IncomeLossFromEquityMethodInvestments
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,investment_gains_losses,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,other_nonoperating_income,251000000.0,OtherNonoperatingIncomeExpense
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,pretax_income,2255000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,income_tax_expense,476000000.0,IncomeTaxExpenseBenefit
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,net_income_continuing_ops,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,discontinued_operations,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,net_income,1800000000.0,NetIncomeLoss
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,net_income_attributable_to_nci,-21000000.0,NetIncomeLossAttributableToNoncontrollingInterest
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,net_income_attributable_to_parent,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,basic_eps,3.66,EarningsPerShareBasic
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,diluted_eps,3.65,EarningsPerShareDiluted
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,basic_shares,492000000.0,WeightedAverageNumberOfSharesOutstandingBasic
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✓,diluted_shares,493000000.0,WeightedAverageNumberOfDilutedSharesOutstanding
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,antidilutive_securities,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,comprehensive_income,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,other_comprehensive_income,,Not Found
ADM,2024,2024-12-31,2025-02-20,10-K,Annual,,✗,dividends_per_share,,Not Found
