Ticker,Fiscal_Year,Period_End_Date,Filing_Date,Filing_Type,Period_Type,Quarter,Status,Field,Value,Concept
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,revenue,64809000000.0,Revenues
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,cost_of_revenue,40199000000.0,CostOfRevenue
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,gross_profit,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,research_development,2107000000.0,ResearchAndDevelopmentExpense
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,selling_general_admin,6667000000.0,SellingGeneralAndAdministrativeExpense
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,depreciation_amortization,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,restructuring_charges,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,other_operating_expenses,-1478000000.0,OtherOperatingIncomeExpenseNet
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,total_operating_expenses,51737000000.0,CostsAndExpenses
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,operating_income,13072000000.0,OperatingIncomeLoss
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,interest_income,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,interest_expense,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,equity_method_investments,44000000.0,IncomeLossFromEquityMethodInvestments
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,investment_gains_losses,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,other_nonoperating_income,813000000.0,OtherNonoperatingIncomeExpense
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,pretax_income,13373000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,income_tax_expense,2629000000.0,IncomeTaxExpenseBenefit
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,net_income_continuing_ops,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,discontinued_operations,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,net_income_attributable_to_nci,-4000000.0,NetIncomeLossAttributableToNoncontrollingInterest
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,net_income,10788000000.0,ProfitLoss
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,net_income_attributable_to_parent,10792000000.0,NetIncomeLossAvailableToCommonStockholdersBasic
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,basic_eps,22.17,EarningsPerShareBasic
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,diluted_eps,22.05,EarningsPerShareDiluted
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,basic_shares,486700000.0,WeightedAverageNumberOfSharesOutstandingBasic
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✓,diluted_shares,489400000.0,WeightedAverageNumberOfDilutedSharesOutstanding
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,antidilutive_securities,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,comprehensive_income,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,other_comprehensive_income,,Not Found
CAT,2024,2024-12-31,2025-02-14,10-K,Annual,,✗,dividends_per_share,,Not Found
