Ticker,Fiscal_Year,Period_End_Date,Filing_Date,Filing_Type,Period_Type,Quarter,Status,Field,Value,Concept
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,revenue,401779000.0,RevenueFromContractWithCustomerIncludingAssessedTax
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,cost_of_revenue,221485000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,gross_profit,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,research_development,84797000.0,ResearchAndDevelopmentExpense
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,selling_general_admin,128037000.0,SellingGeneralAndAdministrativeExpense
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,depreciation_amortization,39087000.0,AmortizationOfIntangibleAssets
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,restructuring_charges,41000.0,RestructuringCharges
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,other_operating_expenses,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,total_operating_expenses,473447000.0,CostsAndExpenses
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,operating_income,-71668000.0,OperatingIncomeLoss
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,interest_income,9976000.0,InvestmentIncomeInterestAndDividend (AI-discovered)
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,interest_expense,618000.0,InterestExpense
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,equity_method_investments,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,investment_gains_losses,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,other_nonoperating_income,-2395000.0,ForeignCurrencyTransactionGainLossBeforeTax
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,pretax_income,-64946000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,income_tax_expense,4872000.0,IncomeTaxExpenseBenefit
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,net_income_continuing_ops,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,discontinued_operations,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,net_income,-69818000.0,NetIncomeLoss
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,net_income_attributable_to_nci,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,net_income_attributable_to_parent,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,basic_eps,-1.49,EarningsPerShareBasic
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,diluted_eps,-1.49,EarningsPerShareDiluted
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,basic_shares,46908000.0,WeightedAverageNumberOfSharesOutstandingBasic
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✓,diluted_shares,46908000.0,WeightedAverageNumberOfDilutedSharesOutstanding
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,antidilutive_securities,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,comprehensive_income,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,other_comprehensive_income,,Not Found
COHU,2024,2024-12-28,2025-02-20,10-K,Annual,,✗,dividends_per_share,,Not Found
