Ticker,Fiscal_Year,Period_End_Date,Filing_Date,Filing_Type,Period_Type,Quarter,Status,Field,Value,Concept
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,revenue,34857000000.0,RevenueFromContractWithCustomerExcludingAssessedTax
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,cost_of_revenue,8541000000.0,CostOfGoodsAndServicesSold
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,gross_profit,26316000000.0,GrossProfit
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,research_development,4906000000.0,ResearchAndDevelopmentExpense
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,selling_general_admin,15411000000.0,SellingAndMarketingExpense + GeneralAndAdministrativeExpense
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,depreciation_amortization,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,restructuring_charges,988000000.0,RestructuringCharges
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,other_operating_expenses,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,total_operating_expenses,21305000000.0,OperatingExpenses
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,operating_income,5011000000.0,OperatingIncomeLoss
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,interest_income,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,interest_expense,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,equity_method_investments,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,investment_gains_losses,-277000000.0,GainLossOnInvestments
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,other_nonoperating_income,216000000.0,OtherNonoperatingIncomeExpense
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,pretax_income,4950000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,income_tax_expense,814000000.0,IncomeTaxExpenseBenefit
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,net_income_continuing_ops,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,discontinued_operations,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,net_income,4136000000.0,NetIncomeLoss
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,net_income_attributable_to_nci,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,net_income_attributable_to_parent,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,basic_eps,4.25,EarningsPerShareBasic
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,diluted_eps,4.2,EarningsPerShareDiluted
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,basic_shares,974000000.0,WeightedAverageNumberOfSharesOutstandingBasic
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✓,diluted_shares,984000000.0,WeightedAverageNumberOfDilutedSharesOutstanding
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,antidilutive_securities,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,comprehensive_income,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,other_comprehensive_income,,Not Found
CRM,2024,2024-01-31,2024-03-06,10-K,Annual,,✗,dividends_per_share,,Not Found
